Brand;Price;Model;Year;Odometer;Transmission;Fuel;Horse_Power;Engine
;2179900;;2024;None;вариатор;бензин;147;1.5
toyota;16999000;;2024;None;акпп;бензин;415;3.4
haval;2150000;m6;2024;None;робот;бензин;143;1.5
haval;2499000;jolion;2024;None;робот;бензин;143;1.5
haval;2439000;jolion;2024;None;робот;бензин;143;1.5
haval;2249000;jolion;2024;None;робот;бензин;143;1.5
chery;4500000;tiggo 8 pro;2024;None;акпп;гибрид;147;1.5
haval;3000000;dargo;2024;None;робот;бензин;192;2.0
haval;2799000;f7;2024;None;робот;бензин;190;2.0
haval;2350000;f7;2024;None;робот;бензин;150;1.5
haval;3299000;f7;2024;None;робот;бензин;190;2.0
;1800000;;2024;None;механика;бензин;150;2.7
;2179900;;2024;None;вариатор;бензин;147;1.5
haval;2949000;f7;2024;None;робот;бензин;190;2.0
;7750000;;2024;20;акпп;гибрид;154;1.5
geely;2394990;coolray;2024;None;робот;бензин;150;1.5
geely;2258990;atlas;2024;None;робот;гибрид;177;1.5
haval;3099000;f7;2024;None;робот;бензин;190;2.0
haval;3349000;dargo;2024;None;робот;бензин;192;2.0
haval;2199000;jolion;2024;None;робот;бензин;143;1.5
chery;3500000;tiggo 7 pro;2024;None;акпп;гибрид;147;1.5
haval;2649000;jolion;2024;None;робот;бензин;150;1.5
haval;2179000;m6;2024;None;механика;бензин;143;1.5
haval;2899000;f7;2024;None;робот;бензин;190;2.0
;970900;;2024;None;механика;бензин;90;1.6
;4349000;;2024;None;акпп;бензин;220;2.0
geely;1935900;belgee;2024;None;робот;бензин;150;1.5
geely;2850000;atlas;2024;None;робот;гибрид;177;1.5
geely;1890990;belgee;2024;None;робот;бензин;150;1.5
geely;2500900;belgee;2024;None;робот;бензин;150;1.5
geely;4544990;monjaro;2024;None;акпп;бензин;238;2.0
;4399000;;2024;None;робот;бензин;249;2.0
;7000000;;2024;None;акпп;бензин;156;1.5
;1990000;;2024;None;вариатор;бензин;147;1.5
haval;3149000;f7;2024;None;робот;бензин;190;2.0
haval;2949000;f7;2024;None;робот;бензин;190;2.0
haval;3299000;dargo;2024;None;робот;бензин;192;2.0
haval;2299000;m6;2024;None;робот;бензин;143;1.5
haval;3599000;dargo;2024;None;робот;бензин;192;2.0
haval;3149000;f7;2024;None;робот;бензин;190;2.0
haval;2999000;f7;2024;None;робот;бензин;190;2.0
haval;3599000;dargo;2024;None;робот;бензин;192;2.0
geely;3880000;monjaro;2024;None;акпп;бензин;238;2.0
;2700000;;2024;None;робот;бензин;160;1.5
;4459900;;2024;None;робот;бензин;249;2.0
geely;4294990;monjaro;2024;None;акпп;бензин;238;2.0
geely;3589990;tugella;2024;None;акпп;бензин;200;2.0
geely;3289990;tugella;2024;None;акпп;бензин;200;2.0
geely;3239990;tugella;2024;None;акпп;бензин;200;2.0
geely;2883990;atlas;2024;None;акпп;бензин;150;1.5
geely;3088990;atlas;2024;None;робот;гибрид;177;1.5
geely;2288990;atlas;2024;None;робот;гибрид;177;1.5
geely;2000990;belgee;2024;None;робот;бензин;150;1.5
geely;2000990;belgee;2024;None;робот;бензин;150;1.5
geely;1850990;belgee;2024;None;робот;бензин;150;1.5
geely;2550000;coolray;2024;None;робот;бензин;147;1.5
geely;3393990;atlas;2024;None;робот;гибрид;177;1.5
geely;2400990;belgee;2024;None;робот;бензин;150;1.5
geely;2050000;coolray;2024;None;робот;бензин;150;1.5
geely;4244990;monjaro;2024;None;акпп;бензин;238;2.0
geely;2045000;belgee;2024;None;робот;бензин;150;1.5
haval;2100000;m6;2024;None;робот;бензин;143;1.5
haval;3300000;dargo;2024;None;робот;бензин;192;2.0
haval;3095000;f7;2024;None;робот;бензин;190;2.0
haval;1799000;jolion;2024;None;механика;бензин;143;1.5
haval;2599000;jolion;2024;None;робот;бензин;150;1.5
;4859900;;2024;None;робот;бензин;249;2.0
haval;2749000;f7;2024;None;робот;бензин;190;2.0
haval;2699000;f7;2024;None;робот;бензин;190;2.0
haval;2999000;dargo;2024;None;робот;бензин;192;2.0
haval;2169000;jolion;2024;None;робот;бензин;150;1.5
jetour;3235524;x90 plus;2024;None;робот;бензин;244;2.0
